"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/conarh-abrh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 27 - Thu, 29 Aug 2024","CONARH","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/concrete-show-southamerica","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 06 - Thu, 08 Aug 2024","Concrete Show South America","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-h1d5-k9hk-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 Aug 2024","Club Meeting: Infrastructure Educational PPPs - What Are the Pillars for the Success of New Projects?","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-1x7p-43gr-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 29 - Sat, 31 Aug 2024","Head and Neck Cancer Summit","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e14d-dgdp-z7k1-6","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Sat, 13 Jul 2024","Spine Deformity Solutions: A Hands-On Course","","","","","Curitiba","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1xg-k095-x8hz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Thu, 15 Aug 2024","GCCA Cold Chain Institute Brasil","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1z3-g7f4-p0rg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Fri, 02 Aug 2024","Brazil Student Regional Conference","","","","","Fortaleza • Online","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/zoholics-brazil","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 07 - Thu, 08 Aug 2024","Zoholics: Brazil","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/industrial-informatics","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 18 - Tue, 20 Aug 2024","International Conference On Industrial Informatics","","","","","Porto Alegre • Online","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/bh-retina-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 08 - Sat, 10 Aug 2024","BH Retina Summit","","","","","Belo Horizonte","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k2-r0f5-0xxg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 - Sat, 27 Jul 2024","Expo Entrepreneur","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
