"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"21/12/2024","10Times","https://10times.com/e1kx-d53f-1x5p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 21 - Thu, 23 Nov 2023","International Seminar Revitalizing Ando Indigenous Languages and Cyberspace. New Territories of Revitalization (Revita)...","The VI International Seminar Revitalizing Ando focuses on the revitalization of indigenous languages and their presence in cyberspace. It serves as a platform for reflection and analysis of community practices and local initiatives aimed at preserving cultures. The seminar was initiated in 2014 in Colombia by the University of Cauca.","","","","Salesian Polytechnic University, Cuenca,  EcuadorGet Directions","ecuador","[region]","","","","","","","Universidad Politecnica Salesiana","","","","Ecuador","","https://10times.com/company/universidad-politecnica-salesiana"
"21/12/2024","10Times","https://10times.com/e15k-sd9g-x1x5","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 05 - Thu, 10 Aug 2023","APRU Sustainable Cities and Landscapes Conference and Student Symposium","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/latin-america-eduexpos-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 05 Oct 2023","Latin America EDUEXPOS","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1ks-49sh-48zd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Oct 2023","Ecuadorian Conference on Information and Communication Technologies (TICEC)","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1k5-0s0s-1hzh","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Oct 2023","Latin American Conference on Learning Technologies (LACLO)","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/e1k4-r4r3-r6dr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 26 - Sat, 28 Oct 2023","Sixth ICAI Workshop on Smart and Sustainable Cities (WSSC)","This workshop aims to showcase advancements in smart and sustainable cities, including innovative approaches, algorithms, and applications, to foster discussion and collaboration.","","","","Guayaquil,											Ecuador","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/uksg-lalibertad","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 15 - Thu, 16 Nov 2023","UKSG Conference","The UKSG One-Day Conference in London offers a chance for members of the knowledge community to engage in strategic discussions on a popular topic. The goal is to foster ongoing collaboration and provide diverse perspectives through carefully curated programs and expert speakers.","","","","La Libertad,  Ecuador  •  Virtual Event","ecuador","[region]","","","","","","","Uksg","","","","","","https://10times.com/company/uksg"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/regional-platform-for-disaster-risk-reduction-in-americas","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 27 - Thu, 29 May 2014","Regional Platform for Disaster Risk Reduction in The Americas","The Regional Platform for Disaster Risk Reduction in The Americas, organized by the United Nations Industrial Development Organization, SPX-CQ will take place from 27th May to the 29th May 2014 in Guayaquil, Ecuador. The conference will cover areas like multisectoral participatory forum which reflects the commitments and concerns of governments.","","","","Guayaquil, Ecuador","ecuador","[region]","","","","","","","United Nations Industrial Development Organization, SPX-CQ","","","","China","","https://10times.com/company/unido-spxcq"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/laccei","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 22 - Thu, 24 Jul 2014","Latin American and Caribbean Consortium of Engineering Institutions Conference (LACCEI)","Followers","","","","Guayaquil, Ecuador","ecuador","[region]","","","","","","","Latin American and Caribbean Consortium of Engineering Institutions","","","","","","https://10times.com/company/latin-american-and-caribbean-consortium-engineering-institutions"
"21/12/2024","10Times","https://10times.com/communication-and-computing","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 11 - Sat, 16 Aug 2014","Extreme Conference On Communication And Computing","Followers","","","","Latacunga Canton, Ecuador","ecuador","[region]","","","","","","","Springer","","","","","","https://10times.com/company/springer-verlag"
"21/12/2024","10Times","https://10times.com/enso","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 12 - Fri, 14 Nov 2014","International Conference on ENSO","Followers","","","","Centro Cultural Libertador Simon Bolivar, 											Guayaquil, EcuadorGet Directions","ecuador","[region]","","","","","","","CIIFEN","","","","","","https://10times.com/company/ciifen"
"21/12/2024","10Times","https://10times.com/americas-on-international-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 20 - Thu, 22 Oct 2015","Conference Of The Americas On International Education","Followers","","","","Quito, Ecuador","ecuador","[region]","","","","","","","Inter-american Organization for Higher Education","","","","","","https://10times.com/company/inter-american-organization-for-higher-education-iohe"
"21/12/2024","10Times","https://10times.com/edutec","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 17 - Fri, 20 Nov 2015","Congreso Internacional Edutec","","","","","Riobamba, Ecuador","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/sac-lacpec","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 18 - Fri, 20 Nov 2015","Spe Latin America and Caribbean Petroleum Engineering Conference (SAC LACPEC)","The Spe Latin America and Caribbean Petroleum Engineering Conference, organized by the Society of Petroleum Engineers will take place from 18th November to the 20th November 2015 at the JW Marriott Hotel in Quito, Ecuador. The conference will cover areas like integration of geosciences technologies, reservoir characterization and reservoir description, reservoir management and testing, to that of deepwater developments associated with this field.","","","","JW Marriott Hotel Quito, 											Quito, EcuadorGet Directions","ecuador","[region]","","","","","","","Society of Petroleum Engineers","","","","","","https://10times.com/company/spe"
"21/12/2024","10Times","https://10times.com/education-latin-america-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 10 Sep 2016","International Education Latin America Expo Roadshow","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/international-education-latin-america-expo-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 11 Sep 2016","International Education Latin America EXPO Roadshow","","","","","Quito, Ecuador","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/aassa-educators-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Sat, 24 Mar 2018","AASSA Educators Conference","""Develop innovative ways to improve international education""The AASSA Educators Conference, organized by the Association Of American schools In South America will take place from 22nd March to 24th March 2018 at the Colegio Americano in Quito, Ecuador. The goal of the AASSA educators conference is to improve the student learning through best practices and professional development. This conference will be a great platform for building new contacts for future purpose.","","","","Colegio Americano, 											Quito, EcuadorGet Directions","ecuador","[region]","","","","","","","Association Of American schools In South America","","","","","","https://10times.com/company/association-of-american-schools-in-south-america"
"21/12/2024","10Times","https://10times.com/icedeg","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 04 - Fri, 06 Apr 2018","International Conference on eDemocracy & eGovernment (ICEDEG)","Followers","","","","Technical University of Ambato - Huachi Campus, 											Ambato, EcuadorGet Directions","ecuador","[region]","","","","","","","University of Fribourg","","","","","","https://10times.com/company/university-of-fribourg"
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/citt-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 29 - Fri, 31 Aug 2018","CITT Conference","","","","","Technical University of Babahoyo, Babahoyo","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","https://10times.com/latin-america-quito","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 02 Sep 2018","Linden Educational Services Fair Quito","Followers","","","","Swissotel Quito, 											Quito, EcuadorGet Directions","ecuador","[region]","","","","","","","Linden Educational Services","","","","","","https://10times.com/company/linden-educational-services"
"21/12/2024","10Times","https://10times.com/el-nino-southern-oscillation","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Thu, 18 Oct 2018","International Conference on El Nino Southern Oscillation","The International Conference on El Nino Southern Oscillation, organized by the Clivar will take place from 16th October to 18th October 2018 at the Escuela Superior Politécnica del Litoral (ESPOL) in Guayaquil, Ecuador. The conference will cover areas like understanding of global ENSO teleconnection patterns and related impacts,understanding of how ENSO might change in the future.","","","","Escuela Superior Politécnica del Litoral (ESPOL), 											Guayaquil, EcuadorGet Directions","ecuador","[region]","","","","","","","Clivar","","","","China","","https://10times.com/company/clivar"
"21/12/2024","10Times","https://10times.com/grupokenta","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 07 - Tue, 08 Oct 2019","International Congress of Seedlings of Research-Education-Technology (CISIET)","","","","","","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","https://10times.com/expo-estudiante","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 08 Oct 2019","Expo-Estudiante","Expo-Estudiante will provide the opportunity to meet and recruit vivacious students who have both the academic and financial ability to study abroad and are in the final stage of selecting their course and institution.","","","","Guayaquil, Ecuador","ecuador","[region]","","","","","","","BMI Group","","","","UK","","https://10times.com/company/bmi-media"
"21/12/2024","10Times","https://10times.com/international-congress-implicative-statistical","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 21 - Wed, 23 Oct 2019","International Congress of Implicative Statistical Analysis and Its Applications","International Congress of Implicative Statistical Analysis and Its Applications aim is to open a scientific space for dissemination, exchange of knowledge, points of view and experiences in the field of statistics, both for the career of Statistics and for the research group Science of Data of the Faculty of Science of the Polytechnic School of Chimborazo.","","","","Polytechnic School of Chimborazo, Riobamba,  EcuadorGet Directions","ecuador","[region]","","","","","","","ESPOCH","","","","Ecuador","","https://10times.com/company/espoch"
"21/12/2024","10Times","https://10times.com/latin-american-congress-of-higher-education","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 14 Nov 2019","Latin American Congress of Higher Education","Latin American Congress of Higher Education aim is to convene researchers and professionals interested in technical and technological advances in the areas of higher education. This scientific congress fosters spaces for dialogue, the exchange of advances in higher education in Latin America, with the participation of experts and recognized personalities in the educational field. The congress will promote debate through specialized conferences and presentations that constitute proposals to improve higher education in the region. Analyze the Latin American educational problem through the vision of professionals recognized for their influence on current educational systems.","","","","Technological University Indoamerica, 											Quito, EcuadorGet Directions","ecuador","[region]","","","","","","","","","","","","",""
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
"21/12/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","ecuador","[region]","","","","","","","","","","","","",
