"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/e1s3-41k3-xpxd","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 17 Jun - Fri, 12 Jul 2024","200 Hour Yoga Teacher Training (Learn Yoga with Expert Teachers from India)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k5-x6x4-d6fs","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 - Fri, 19 Jul 2024","Diagnostic Pathology Update","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/mastering-people-management-amsterdam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 16 - Fri, 20 Sep 2024","Mastering People Management & Team Leadership (Mastering People Management Amsterdam)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/education-fair-noordoost","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 04 - Sat, 05 Oct 2024","Northeast Education Fair","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-0h42-dzgr-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 Jul 2024","Colloquium: Jari Stensen (Space Flight)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dh-0dz8-gs4x-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 12 Jul 2024","Interview: Max Hendriks (C&O)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/hssm","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 07 - Sun, 08 Dec 2024","International Conference on Human Capital, Social Sciences, Business Economics & Management Research (HSSM)...","All Events in Amsterdam","","","","
                    Mercure Hotel Amsterdam City, Amsterdam, NetherlandsGet Directions","Netherlands","Europe","","","","","","","SOCIAL SCIENCES AND ECONOMICS RESEARCH SOCIETY","","","","","","https://10times.com/company/social-sciences-and-economics-research-society"
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1dh-11dz-5gr2-g","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 Jul 2024","Interview: Martín Camus Amorós (FPT)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1dh-1dz3-g5k0-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 19 Jul 2024","Interview: Georges Puttaert (C&O)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-h1d1-z7gr-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 Jul 2024","Colloquium: László Dávid Czél (ASM)","Thesis focused on effects of gaps in variable stiffness laminates, developing a refined specimen design. Experimental work included Digital Image Correlation, Dye Penetrant Testing, and Optical Microscopy, revealing deformation peaks, void formation, and ply deformation.","","","","
                    delft university, 											Delft, NetherlandsGet Directions","Netherlands","Europe","","","","","","","Delft University of Technology","","","","","","https://10times.com/company/delft-university-of-technology"
"12/07/2024","10Times","https://10times.com/e1df-s14d-px58-h","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul - Sun, 04 Aug 2024","EUDEC Conference","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-h4d0-f2dp-f","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 Jul 2024","Colloquium: Martin van Schie (FPT)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e10d-dkg0-xx1k-0","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Fri, 19 Jul 2024","EASST-4S Amsterdam Conference","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/igb-live-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Fri, 19 Jul 2024","iGB Live Conference","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-15h7-dzgr-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 30 Jul 2024","Colloquium: Julie Paddeu (EWEM)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11d-hdzg-r1h2-0","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 Jul 2024","Colloquium: Kyoungeun Lee (Space Flight)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-h2d3-z5gr-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 01 Aug 2024","Colloquium: Nicolás de Jong Cantariño (Space Flight)","Colloquium on low-order acoustic network model for high-frequency combustion instabilities in rocket engines, presenting a tool for stability prediction and acoustic resonant frequencies with improved accuracy and efficiency compared to traditional CFD simulations.","","","","
                    delft university, 											Delft, NetherlandsGet Directions","Netherlands","Europe","","","","","","","Delft University of Technology","","","","","","https://10times.com/company/delft-university-of-technology"
"12/07/2024","10Times","https://10times.com/e1x5-z7g2-5xgz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Fri, 09 Aug 2024","Complex Project Management Training","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/wsai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 09 - Thu, 10 Oct 2024","World Summit AI (WSAI)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-48x5-gpk0-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 - Fri, 16 Aug 2024","Annual Globalisation Conference","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-h3d0-z7gr-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 06 Aug 2024","Colloquium: Jared Vermeulen (FPT)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/big-data-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Thu, 12 Sep 2024","Big Data Expo","The Big Data Expo offers a diverse range of topics suitable for both technical and management professionals.","","","","
                    Jaarbeurs, Utrecht, NetherlandsGet Directions","Netherlands","Europe","","","","","","","Organization Groep Zuid bv","","","","","","https://10times.com/company/ogz"
"12/07/2024","10Times","https://10times.com/emigration-fair-houten","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 29 - Sun, 30 Mar 2025","Emigration fair","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1df-5sx0-hh1h-2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 22 - Sat, 24 Aug 2024","The Historians' Days","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ear-ofac-u-s-commercial-military-export-contr","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 23 - Thu, 24 Oct 2024","EAR & OFAC Controls Seminar (Live Export Compliance Seminar: Washington, DC)","","","","","","Netherlands","Europe","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Netherlands","Europe","","","","","","","","","","","","",
