"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/further-and-higher-education-strategy-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 02 - Fri, 04 Oct 2024","Further and Higher Education Strategy Forum","","","","","Chester","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/higher-education-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 24 - Sun, 25 May 2025","International Conference on Higher Education (ICHE)","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/education-academies-newmarket","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 Jun 2025","The Eastern Education Show","","","","","Newmarket","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/professional-beauty-manchester","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 29 - Mon, 30 Sep 2024","Professional Beauty North (PB North)","","","","","Manchester","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/radiological-protection-summer","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 12 - Fri, 16 Aug 2024","Radiological Protection Summer School","","","","","Cambridge","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/negotiating-and-influencing-skills","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 14 - Fri, 18 Oct 2024","Negotiating and Influencing Skills for Leaders","","","","","London • Online","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1xz-dffk-0523","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 26 - Wed, 28 Aug 2024","World Congress on Education","","","","","Cambridge","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/bett","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 22 - Fri, 24 Jan 2025","Bett UK (Bett Show)","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/childcare-expo-london","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 28 Feb - Sat, 01 Mar 2025","Childcare & Education Expo","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1xf-s56s-f09x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 12 - Sat, 14 Dec 2024","World Conference on Future of Education (WCFEDUCATION)","","","","","Cambridge","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zs-50k1-pdx7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Thu, 18 Jul 2024","Annual International Conference on Special and Gifted Education","","","","","Oxford","United Kingdom","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/music-education-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 30 - Fri, 31 Jan 2025","Music & Drama Education Expo","","","","","London","United Kingdom","Europe","","","","","","","","","","","",""
