"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"16/07/2024","10Times","https://10times.com/e1dh-hf03-0g6g-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","Unitar-Npu Training Programme","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e10x-ssgk-3d02","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Fri, 30 Aug 2024","International Conference on Motivation & Emotion","","","","","Bern","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1x1-g2g0-d7kx","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 02 - Thu, 05 Sep 2024","SEFI Annual Conference","","","","","Lausanne","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1kk-hgx2-25k7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 19 Aug 2024","World Humanitarian Day","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d5-6d32-kpsz-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Fri, 26 Jul 2024","International Cryogenic Engineering Conference (ICEC)","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/sog-annual-congress-saint-gallen","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 28 - Fri, 30 Aug 2024","SOG Annual Congress","","","","","Saint Gallen","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1dd-0x9x-hh5p-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Wed, 17 Jul 2024","Consultation on Human Rights and Development","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1kk-h07d-46rs","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 - Fri, 19 Jul 2024","One Immersion Program","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/tedx-youth-zurich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 25 Oct 2024","Tedx Zurich","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/lugano-fund-forum","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 Nov 2024","The Lugano Finance Forum","","","","","Lugano","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/berufs-messe-thurgau","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 19 - Sat, 21 Sep 2024","Berufs Messe Thurgau","","","","","Weinfelden","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/institute-conference-zurich","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 20 - Thu, 21 Nov 2024","Swiss Mining Institute (SMI)","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/berufsmesse","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 19 - Sat, 23 Nov 2024","Berufs Messe Zurich (Berufsmesse)","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/edf-montreux","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 23 - Sat, 25 Jan 2025","Meeting of the European Dermatology Forum (EDF)","","","","","Montreux","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1df-2z2d-hh0k-1","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Thu, 25 Jul 2024","Tunisia Conference","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1zk-07dr-26rk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Fri, 13 Sep 2024","Meeting of States Parties","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/metiers-formation-lausanne","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 01 - Sun, 06 Oct 2024","Salon Des Metiers et Dec La Formation Lausanne","","","","","Lausanne","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e10x-ffdd-1g23","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 17 - Thu, 18 Jul 2024","Unitar - UN Immersion Program","","","","","Geneva","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/e1d3-0f17-szsg-x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 29 - Wed, 31 Jul 2024","annual ISIR Conference","","","","","Zürich","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","https://10times.com/symposium-on-immuno-oncology","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 11 - Fri, 13 Dec 2024","ESMO Immuno-Oncology Congress","","","","","Geneva • Online","Switzerland","Europe","","","","","","","","","","","",""
"16/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Switzerland","Europe","","","","","","","","","","","",""
