"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag","company_url"
"12/07/2024","10Times","https://10times.com/e1dd-1gs8-hp53-z","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","The Future of Education Summit","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rs-39kk-3f7p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 07 - Sun, 14 Jul 2024","International Congress on Mathematical Education","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icess-sydney","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 24 - Wed, 25 Sep 2024","International Conference on Education and Social Science (ICESS)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k0-342z-xkrf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 - Tue, 23 Jul 2024","Shutdown School, Perth","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1dd-0gd2-zx4r-3","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 07 - Sun, 14 Jul 2024","The International Congress on Mathematics Education","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/e1k3-35h3-hffz","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 05 - Tue, 06 Aug 2024","The Leading Edge: Women in Education Conference Brisbane","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/tertiary-studies-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 13 - Sun, 14 Jul 2024","Tertiary Studies Expo + QLD Work & Skills Expo (TSXPO)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Australia","Oceania","","","","","","","","","","","","",
"12/07/2024","10Times","https://10times.com/independent-schools-expo","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 03 - Sun, 04 Aug 2024","Independent Schools Expo","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/tasmanian-state-conference-kingston","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 22 Jul 2024","Tasmanian State Conference","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/the-acer-conference","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 06 - Fri, 07 Feb 2025","Australian Council for Educational Research Conference (ACER conference)","","","","","","Australia","Oceania","","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/integrate","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 21 - Fri, 23 Aug 2024","Integrate","","","","","","Australia","Oceania","","","","","","","","","","","","",""
